CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_INI_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA
15.527.906/0001-36;2020-03-31;1;BIOSEV S.A.;022845;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2019-04-01;2020-03-31;7.08.02;Impostos, Taxas e Contribuições;51370.0000000000;S
15.527.906/0001-36;2020-03-31;1;BIOSEV S.A.;022845;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2018-04-01;2019-03-31;7.08.02.01;Federais;61274.0000000000;S
15.527.906/0001-36;2020-03-31;1;BIOSEV S.A.;022845;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2019-04-01;2020-03-31;7.08.02.01;Federais;-215237.0000000000;S
15.527.906/0001-36;2020-03-31;1;BIOSEV S.A.;022845;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2018-04-01;2019-03-31;7.08.02.02;Estaduais;327391.0000000000;S
15.527.906/0001-36;2020-03-31;1;BIOSEV S.A.;022845;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2019-04-01;2020-03-31;7.08.02.02;Estaduais;266434.0000000000;S
15.527.906/0001-36;2020-03-31;1;BIOSEV S.A.;022845;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2018-04-01;2019-03-31;7.08.02.03;Municipais;90.0000000000;S
15.527.906/0001-36;2020-03-31;1;BIOSEV S.A.;022845;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2019-04-01;2020-03-31;7.08.02.03;Municipais;173.0000000000;S
15.527.906/0001-36;2020-03-31;1;BIOSEV S.A.;022845;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2018-04-01;2019-03-31;7.08.03;Remuneração de Capitais de Terceiros;1996934.0000000000;S
15.527.906/0001-36;2020-03-31;1;BIOSEV S.A.;022845;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2019-04-01;2020-03-31;7.08.03;Remuneração de Capitais de Terceiros;2785482.0000000000;S
15.527.906/0001-36;2020-03-31;1;BIOSEV S.A.;022845;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2018-04-01;2019-03-31;7.08.03.01;Juros;1511594.0000000000;S
15.527.906/0001-36;2020-03-31;1;BIOSEV S.A.;022845;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2019-04-01;2020-03-31;7.08.03.01;Juros;2453511.0000000000;S
15.527.906/0001-36;2020-03-31;1;BIOSEV S.A.;022845;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2018-04-01;2019-03-31;7.08.03.02;Aluguéis;485340.0000000000;S
15.527.906/0001-36;2020-03-31;1;BIOSEV S.A.;022845;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2019-04-01;2020-03-31;7.08.03.02;Aluguéis;331971.0000000000;S
15.527.906/0001-36;2020-03-31;1;BIOSEV S.A.;022845;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2018-04-01;2019-03-31;7.08.03.03;Outras;0.0000000000;S
15.527.906/0001-36;2020-03-31;1;BIOSEV S.A.;022845;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2019-04-01;2020-03-31;7.08.03.03;Outras;0.0000000000;S
